team,season,wins,losses,_id
Marshall,2021,7,6,67127c950f4ebd82094170ee
Marshall,2022,9,4,67127c950f4ebd82094170ef
Marshall,2023,6,7,67127c950f4ebd82094170f0
Marshall,2024,0,0,67127c950f4ebd82094170f1
Louisiana Tech,2016,9,5,67127c950f4ebd82094170f2
Louisiana Tech,2017,7,6,67127c950f4ebd82094170f3
Louisiana Tech,2018,8,5,67127c950f4ebd82094170f4
Louisiana Tech,2019,10,3,67127c950f4ebd82094170f5
Louisiana Tech,2020,5,5,67127c950f4ebd82094170f6
Louisiana Tech,2021,3,9,67127c950f4ebd82094170f7
Louisiana Tech,2022,3,9,67127c950f4ebd82094170f8
Louisiana Tech,2023,3,9,67127c950f4ebd82094170f9
Louisiana Tech,2024,0,0,67127c950f4ebd82094170fa
Southern Miss,2016,7,6,67127c950f4ebd82094170fb
Southern Miss,2017,8,5,67127c950f4ebd82094170fc
Southern Miss,2018,6,5,67127c950f4ebd82094170fd
Southern Miss,2019,7,6,67127c950f4ebd82094170fe
Southern Miss,2020,3,7,67127c950f4ebd82094170ff
Southern Miss,2021,3,9,67127c950f4ebd8209417100
Southern Miss,2022,7,6,67127c950f4ebd8209417101
Southern Miss,2023,3,9,67127c950f4ebd8209417102
Southern Miss,2024,0,0,67127c950f4ebd8209417103
